Question Number,Question,Options,Correct Answer,Difficulty Level
1,The speed of a universal motor is generally reduced by using,A) gear trains//@ B) V-belts//@ C) Brakes//@ D) chains,,EASY
2,The efficiency of two identical transformers under load conditions can be determined by,A) Short -circuit  test//@ B) back -to-back test//@ C) Open  circuit test//@ D) any of the above,,MEDIUM
3,Superposition theorem can be applied only to circuits having,A) Resistive  elements//@ B) Passive elements//@ C) Non-linear  elements//@ D) linear  bilateral elements,,MEDIUM
4,A star circuit has element of resistance R/2.  The equivalent delta elements will be,A) R/6//@ B) fi//@ C) 2R//@ D) 4R,,HARD
5,An Ideal Voltage source has,A) Zero internal resistance//@ B) Open circuit voltage equal to the voltage on full load//@ C) Terminal voltage in proportion to current//@ D) Terminal Voltage in Proportion to load,,EASY
6,In repulsion motor direction of rotation of motor,A) is opposite to that of brush shift//@ B) is the same as that of brush shift//@ C) is independent of brush shift//@ D) none of the above,,MEDIUM
7,Burning out of windings is due to,A) Short  circuited capacitor//@ B) capacitor value hiving changed//@ C) Open  circuiting of capacitor//@ D) none of the above,,MEDIUM
8,For which of the following equipment current rating is not necessary?,A) Circuit breakers//@ B) Isolators//@ C) Load break switch//@ D) Circuit breakers and load break switches,,EASY
9,"A conductor of length L has current I passing through it, when it is placed parallel to a magnetic field. The force experienced by the conductor will be",A) Zero//@ B) BLI//@ C) B2LI//@ D) BLI2,,MEDIUM
10,Addition of pentavalent impurity to a semiconductor creates many,A) Free electrons//@ B) Holes//@ C) Valence Electrons//@ D) Bound electrons,,EASY
11,Which of the following materials is not used for transmission and distribution of electrical power?,A) Copper//@ B) Aluminum//@ C) Steel//@ D) Tungsten,,EASY
12,"When a step -input is given to an op -amp integrator, the output will be",A) A ramp//@ B) A sinusoidal wave//@ C) A rectangular wave//@ D) A triangular wave with dc bias,,MEDIUM
13,Excess -3 code is known as,A) Weighted code//@ B) Cyclic  redundancy code//@ C) Self -complementing code//@ D) Algebraic code,,HARD
14,Electro -mechanical voltage regulators are generally used in,A) Reactors//@ B) generators//@ C) Transformers//@ D) all of the above,,MEDIUM
15,A rotary converter operates at a,A) Low power fac tor//@ B) High power factor//@ C) Zero power factor//@ D) none of the above,,MEDIUM
16,Light duty cranes are used in which of the following?,A) Power houses//@ B) Pumping stations//@ C) Automobile workshops//@ D) All of the above,,EASY
17,Magnetic circuit breaker has _________ trip action.,A) Delayed//@ B) Instantaneous//@ C) Both a & b//@ D) None of the above,,EASY
18,A power transformer is usually rated in,A) KW//@ B) KVAR//@ C) KWh//@ D) KVA,,EASY
19,"Submarines for under water movement, are powered by which of the following?",A) Steam accumulators//@ B) Air motors//@ C) Diesel engines//@ D) Batteries,,EASY
20,The upper or lower cut off frequency is also called ________ frequency,A) Resonant//@ B) Sideband//@ C) 3db//@ D) None of the above,,MEDIUM
21,When the load resistance equals the generator res istance which of the following will be maximum?,A) Current//@ B) Efficiency of the circuit//@ C) Power in the load resistance//@ D) Voltage across the load resistance,,MEDIUM
22,The transformer laminations are insulated from each other by,A) Mica  strip//@ B) thi n coat of varnish//@ C) Paper//@ D) any of the above,,EASY
23,The output voltage of a charger is,A) Less than the battery voltage//@ B) Higher than the battery voltage//@ C) The same as the battery voltage//@ D) none  of the above,,EASY
24,Calculate the cutoff frequency of a first order low -pass filter for R1=2.5Kohm and C1=0.05microFarad,A) 1.273 kHz//@ B) 12.73 kHz//@ C) 127.3 kHz//@ D) 127.3Hz,,HARD
25,Admittance relay is _________relay.,A) Impedance//@ B) Directional//@ C) Non -directional//@ D) None of the above,,MEDIUM
26,Minimum voltage regulation occurs when the power factor of the load is,A) Unity//@ B) lagging//@ C) Leading//@ D) zero,,MEDIUM
27,Which of the following materials are diamagnetic?,A) Silver//@ B) Copper//@ C) Silver and Copper//@ D) Iron,,EASY
28,To limit short - circuit  current in a power system are used.,A) Earth wires//@ B) Reactors//@ C) H.R.C. fuses//@ D) Isolators,,MEDIUM
29,Which plant can never have 100 percent load factor?,A) Base load plant//@ B) Peak load plant//@ C) Nuclear power plant//@ D) Hydro electric plant,,MEDIUM
30,"If t he supply voltage for a D.C. motor is increased, which of the following will decrease ?",A) Starting torque//@ B) Operating speed//@ C) Full -load current//@ D) All of the above,,MEDIUM
31,The leakage current across a pn junction is due to,A) Minority carriers//@ B) Majority carriers//@ C) Junction capacitance//@ D) none  of the above,,MEDIUM
32,The advantage of cables over overhead transmission lines is,A) Easy  maintenance//@ B) low cost//@ C) Can be used in congested areas//@ D) can be used in high voltage circuits,,EASY
33,Usually wide and sensitive speed control is desired in case of,A) Centrifugal  pumps//@ B) elevators//@ C) Steel  rolling mills//@ D) colliery winders,,MEDIUM
34,India’s first nuclear power plant was installed at,A) Tarapore//@ B) Kota//@ C) Kalpakam//@ D) None of the above,,EASY
35,In a commutator,A) Mica  is harder than copper//@ B) mica and copper are equally hard//@ C) copper is harder than mica//@ D) none of the above,,EASY
36,What least value should be replaced by * in 223*431 so the number become divisible by 9,A) 6//@ B) 4//@ C) 5//@ D) 3,,EASY
37,A number when divided by the sum of 555 and 445 gives two times their difference as quotient and 30 as remainder. The number is,A) 220030//@ B) 22030//@ C) 23030//@ D) 24030,,MEDIUM
38,"In a group of ducks and buffaloes, the total number of legs is 24 more than twice the number of heads. Find the total number of buffaloes.",A) 8//@ B) 10//@ C) 14//@ D) 12,,MEDIUM
39,How many seconds will a 500 meter long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr,A) 25 Seconds//@ B) 30 Seconds//@ C) 28 Seconds//@ D) 35 Seconds,,MEDIUM
40,"a * b = 2a - 3b + ab, then 3*5 + 5*3 = ?",A) 22//@ B) 21//@ C) 20//@ D) 23,,MEDIUM
41,Food : Stomach : : Fuel : _____ ?,A) Plane//@ B) Truck//@ C) Engine//@ D) Automobile,,EASY
42,"SUGARCANE, COFFEE, TOBACCO, RICE",A) SUGARCANE//@ B) COFFEE//@ C) TOBACCO//@ D) RICE,,EASY
43,"If PRIVATE is coded as 1234567 and RISK is coded as 2398, how is RIVETS coded?",A) 232679//@ B) 243769//@ C) 234769//@ D) 234976,,MEDIUM
44,"EJO, TYD, INS, XCH?",A) NRW//@ B) MRW//@ C) MSX//@ D) NSX,,HARD
45,_ nmmn _ mmnn _ mnnm _,A) nmmn//@ B) mnnm//@ C) nnmm//@ D) nmnm,,MEDIUM
46,A girl introduced a boy as the son of the daughter of the father of her uncle. The boy is girl’s,A) Uncle//@ B) Nephew//@ C) Brother//@ D) Son,,MEDIUM
47,"According to a military code, SYSTEM is  SYSMET and NEARER is AENRER What is the code for FRACTION?",A) CARFTINO//@ B) CARFNOIT//@ C) FRACNOIT//@ D) CARFTION,,HARD
48,Jungle : Zoo : : Sea : ?,A) Aquarium//@ B) Harbour//@ C) Water//@ D) Fishery,,EASY
49,The child jumped _______ to catch the ball.,A) Above//@ B) up//@ C) By//@ D) at,,EASY
50,How soon _______ the party begin?,A) Is//@ B) will//@ C) was//@ D) none,,EASY
